sampleID,date,ril.id,cross,group,food,Males,Females,atpc1,atpc2,avgc1,avgc2,CS,CS_cop,atpc1_nonnorm,atpc2_nonnorm
A32,6/16/2020,AB ,AB,Parental,Yeast,10,10,-487.9174976,561.8791394,,,0.304176374,0.015208819,-148.4129752,170.9103593
A33,6/16/2020,AB ,AB,Parental,Yeast,10,10,303.6573599,658.4835014,303.6573599,658.4835014,0.297008604,0.01485043,90.18884847,195.5752653
A15,3/5/2020,BR,BR,Parental,Yeast,10,10,563.2653345,874.1585386,,,0.3635503,0.018177515,125.221068,194.3365926
A16,3/5/2020,BR,BR,Parental,Yeast,10,10,634.6072801,659.2044615,,,0.232273995,0.0116137,157.3394589,163.4378875
A30,6/16/2020,BR,BR,Parental,Yeast,10,10,254.7061816,526.0753845,510.1354105,538.7245538,0.222312755,0.011115638,53.31605959,110.1200857
A31,6/16/2020,BR,BR,Parental,Yeast,10,10,338.1018272,448.0311098,,,0.247932011,0.012396601,91.18541033,120.8331257
A5,2/26/2020,BR,BR,Parental,Yeast,10,10,364.1745017,286.9984483,,,0.209323776,0.010466189,132.3957493,104.338372
A6,2/26/2020,BR,BR,Parental,Yeast,11,9,905.9573377,437.8793799,,,0.26969807,0.013484904,210.43033,101.7079928
A10,2/26/2020,BRSD50,BRSD,Hybrid,Yeast,10,10,953.4730653,836.9929352,,,0.257884336,0.012894217,200.9609652,176.41076
A36,6/16/2020,BRSD50,BRSD,Hybrid,Yeast,10,10,714.0271918,943.8094824,618.7027379,647.0438918,0.210767323,0.010538366,209.0288505,276.2967761
A37,6/16/2020,BRSD50,BRSD,Hybrid,Yeast,10,10,134.8012039,202.8625961,,,0.292746345,0.014637317,50.82465494,76.48612288
A9,2/26/2020,BRSD50,BRSD,Hybrid,Yeast,9,11,672.5094907,604.5105533,,,0.377034132,0.018851707,173.4296637,155.8938028
A43,6/18/2020,BRSD56,BRSD,Hybrid,Yeast,10,10,564.5123623,1236.842974,,,0.264731396,0.01323657,149.4441457,327.4311671
A44,6/18/2020,BRSD56,BRSD,Hybrid,Yeast,10,10,580.0914142,1141.437064,817.2737986,1721.338861,0.297254499,0.014862725,172.4347826,339.2973023
A45,6/18/2020,BRSD56,BRSD,Hybrid,Yeast,10,10,418.941189,1426.968255,,,0.224391986,0.011219599,94.00704552,320.200241
A62,2-Jul,BRSD56,BRSD,Hybrid,Yeast,10,10,1705.550229,3080.107151,,,0.217296045,0.010864802,370.609319,669.2951016
A13,3/5/2020,BUF,BUF,Parental,Yeast,10,10,466.9517606,353.8722744,,,0.488409638,0.024420482,142.7032301,108.1454679
A14,3/5/2020,BUF,BUF,Parental,Yeast,10,10,527.8850399,369.2310662,,,0.488126121,0.024406306,148.8016588,104.0798488
A3,2/26/2020,BUF,BUF,Parental,Yeast,9,11,351.1411441,264.9715382,371.1936633,375.0524535,0.305605937,0.015280297,171.500719,129.414653
A34,6/16/2020,BUF,BUF,Parental,Yeast,10,10,397.1223403,525.39183,,,0.281882697,0.014094135,192.8347202,255.1198366
A35,6/16/2020,BUF,BUF,Parental,Yeast,10,10,390.6457136,519.9985989,,,0.485580137,0.024279007,150.4808411,200.3089342
A4,2/26/2020,BUF,BUF,Parental,Yeast,10,10,166.3320856,151.962143,,,0.385210527,0.019260526,81.19103567,74.17669133
A53,6/24/2020,BUF,BUF,Parental,Yeast,20,0,298.2775588,439.9397239,,,0.402518013,0.020125901,120.0620902,177.0836633
A40,6/18/2020,BUFSD19,BUFSD,Hybrid,Yeast,10,10,454.6390384,865.2902096,,,0.257341919,0.012867096,116.9976824,222.6754427
A41,6/18/2020,BUFSD19,BUFSD,Hybrid,Yeast,10,10,504.7091259,805.8992418,469.6559392,849.2165595,0.276996994,0.01384985,139.8029109,223.2316677
A42,6/18/2020,BUFSD19,BUFSD,Hybrid,Yeast,10,10,430.7832644,946.7386049,,,0.237161055,0.011858053,102.1650134,224.5295263
A54,6/24/2020,BUFSD19,BUFSD,Hybrid,Yeast,20,0,448.8373609,918.3703927,,,0.244910364,0.012245518,109.9249216,224.9184275
A55,6/24/2020,BUFSD19,BUFSD,Hybrid,Yeast,20,0,509.3109066,709.7843485,,,0.233868407,0.01169342,119.1117306,165.9961352
A28,6/14/2020,BUFSD24,BUFSD,Hybrid,Yeast,10,10,745.3303864,1141.438726,687.5533232,1057.141883,0.313141784,0.015657089,233.3940867,357.4321588
A29,6/14/2020,BUFSD24,BUFSD,Hybrid,Yeast,10,10,629.77626,972.8450397,,,0.309903885,0.015495194,195.1701094,301.4884569
A24,6/14/2020,BUFSD4,BUFSD,Hybrid,Yeast,10,10,426.2119783,658.5881899,614.236409,906.7113184,0.125478024,0.006273901,190.3604698,294.1474281
A25,6/14/2020,BUFSD4,BUFSD,Hybrid,Yeast,10,10,381.7467752,553.9070857,,,0.245850362,0.012292518,129.1008505,187.3228028
A63,2-Jul,BUFSD4,BUFSD,Hybrid,Yeast,10,10,764.4381292,1033.811565,,,0.446633317,0.022331666,250.8960573,339.307049
A64,2-Jul,BUFSD4,BUFSD,Hybrid,Yeast,10,10,706.7611747,1747.516321,,,0.338184522,0.016909226,248.2676225,613.8590203
A7,2/26/2020,BUFSD4,BUFSD,Hybrid,Yeast,10,10,976.8696023,1102.646804,,,0.328209763,0.016410488,122.5756672,138.357942
A8,2/26/2020,BUFSD4,BUFSD,Hybrid,Yeast,11,9,429.3907944,343.797945,,,0.351275128,0.017563756,105.5658822,84.52284923
A38,6/18/2020,CAT,CAT,Parental,Yeast,10,10,989.0059,614.8942096,895.047351,950.4788035,0.158604191,0.00793021,156.8604802,97.52479837
A39,6/18/2020,CAT,CAT,Parental,Yeast,10,10,808.2187969,1051.331087,,,0.190640648,0.009532032,154.0793548,200.4264392
A56,6/24/2020,CAT,CAT,Parental,Yeast,10,10,887.9173561,1185.211114,,,0.159835101,0.007991755,141.9203599,189.4383375
A46,6/22/2020,CATAB27,CATAB,Hybrid,Yeast,10,10,295.3442429,615.6624476,282.2724002,595.1694076,0.363011119,0.018150556,107.213244,223.4923138
A47,6/22/2020,CATAB27,CATAB,Hybrid,Yeast,10,10,269.2005576,574.6763676,,,0.412907419,0.020645371,111.1549074,237.2881356
A22b,6/14/2020,PES,PES,Parental,Yeast,10,10,313.1434067,454.3146147,349.834674,538.058608,0.197244763,0.009862238,61.76589712,89.61117861
A23,6/14/2020,PES,PES,Parental,Yeast,10,10,386.5259413,621.8026012,,,0.225943252,0.011297163,87.33292831,140.4921021
A26,6/14/2020,PESAB20,PESAB,Hybrid,Yeast,10,10,325.8024695,819.8765441,471.6829478,830.8189568,0.353521598,0.01767608,115.1782098,289.8440664
A27,6/14/2020,PESAB20,PESAB,Hybrid,Yeast,10,10,617.5634261,841.7613695,,,0.372598621,0.018629931,230.1032807,313.6391252
A48,6/22/2020,SD,SD,Parental,Yeast,10,10,707.1614071,850.3114895,493.2159518,961.0531841,0.206513855,0.010325693,146.0386283,175.6011037
A49,6/22/2020,SD,SD,Parental,Yeast,10,10,279.2704966,1071.794879,,,0.261111623,0.013055581,72.92077257,279.8581001
